date,tp,t2m,ssr,str,sp
11/17/1983,0.82,269.4942313,11298062.9,-7240597.578,70976.5481
11/18/1983,0.65,270.6147212,11691323.74,-7466069.221,70809.55935
11/19/1983,3.69,270.9786587,9875151.01,-5790684.307,70801.65228
11/20/1983,3.46,267.9923718,8675131.881,-5909498.057,71096.11116
11/21/1983,0.4,266.8892537,10685108.19,-7642601.907,71055.88116
11/22/1983,0.4,267.719702,11081643.88,-7552982.289,70928.39644
11/23/1983,0.53,267.5153762,10860440.79,-7181263.684,71002.31398
11/24/1983,0.52,267.554923,10962406.96,-7132861.677,71127.14965
11/25/1983,0.11,265.8136176,11279342.54,-8229823.666,71115.84867
11/26/1983,0.17,267.4764553,11815262.63,-8286893.185,71161.10686
11/27/1983,0.25,266.4958946,11151347.73,-7508668.814,71229.04513
11/28/1983,0.08,267.0771885,11437532.55,-7969209.636,71194.04938
11/29/1983,0.4,268.5688128,11188712.74,-7340775.854,71089.00696
11/30/1983,1.16,269.0337003,10176487.98,-6507669.894,71012.39381
12/1/1983,3.12,267.315595,9326917.614,-6228743.062,70995.82124
12/2/1983,0.55,265.1534677,9837720.556,-7327477.447,70994.82197
12/3/1983,0.35,266.7872396,10378498.06,-7280749.337,71062.02402
12/4/1983,0.31,266.9612524,10370971.14,-7113288.399,71118.92819
12/5/1983,0.28,266.9567923,10489418.54,-7258421.088,71046.12756
12/6/1983,0.23,267.3384682,10536354.15,-7376956.1,71002.46691
12/7/1983,0.36,267.248211,10632374.84,-7354196.304,71037.39972
12/8/1983,0.27,266.7682091,10558432.52,-7484286.781,71082.13478
12/9/1983,0.1,267.1772753,11002465.63,-7813869.369,71022.15975
12/10/1983,0.13,268.8761168,10878796.56,-7153525.194,70908.10577
12/11/1983,0.42,268.3840316,9960357.048,-6853467.507,70895.46274
12/12/1983,0.58,268.5874937,10284810.47,-7093373.132,70761.42005
12/13/1983,1.38,267.9926047,9971033.83,-6718357.654,70792.31188
12/14/1983,0.3,265.703092,10363493.77,-7912002.264,70977.94941
12/15/1983,0.25,267.3826672,10548022.72,-7448802.244,70946.83006
12/16/1983,0.54,266.5886284,10155194.48,-7024984.113,70813.41451
12/17/1983,0.38,267.0766565,10378698.2,-7203271.389,70639.36252
12/18/1983,1.16,267.1070071,9680618.999,-6500786.98,70574.29216
12/19/1983,0.93,265.4683322,9654708.023,-7086967.369,70584.20862
12/20/1983,1.36,267.4618832,9559676.971,-6497079.018,70416.85063
12/21/1983,1.49,268.1358097,8667642.409,-6187863.258,70501.94768
12/22/1983,1.6,268.9261191,8569661.791,-6079293.729,70484.12575
12/23/1983,2.39,268.9830639,8248162.512,-5822676.371,70398.57118
12/24/1983,2.95,268.0202937,7912902.101,-5945713.255,70514.46565
12/25/1983,2.1,268.2858109,7929473.101,-5925008.805,70599.39402
12/26/1983,4,269.3259806,8067661.811,-5195097.957,70174.50495
12/27/1983,10.93,266.3126713,5707788.232,-4072182.172,69855.57141
12/28/1983,9.07,263.3350047,5256940.571,-4678601.924,70121.21551
12/29/1983,0.8,263.8082853,7885544.875,-6501123.343,70499.0926
12/30/1983,1.43,264.6895177,8287224.35,-5998660,70255.66844
12/31/1983,1.65,262.481633,7425022.03,-5818246.298,70436.2308
1/1/1984,0.5,262.0306342,8464348.085,-6857414.49,70747.0496
1/2/1984,0.25,263.1775728,9741901.328,-7239139.365,70662.77074
1/3/1984,1.72,266.7893688,9009202.527,-5314167.782,70584.114
1/4/1984,1.78,262.9860693,7367367.128,-5968800.063,70833.92829
1/5/1984,0.85,265.6049677,8996171.968,-6159433.73,70625.4605
1/6/1984,1.22,265.8440573,8268343.219,-5818397.836,70602.32011
1/7/1984,1.83,265.51972,8876430.873,-6112957.674,70570.37743
1/8/1984,0.98,265.1341061,8882605.689,-6392852.675,70766.68134
1/9/1984,0.59,266.105099,9347398.903,-6541501.294,70715.31813
1/10/1984,0.42,265.3002077,9690809.013,-6844328.336,70693.54235
1/11/1984,0.85,266.0680372,9470798.202,-6331586.759,70626.77626
1/12/1984,0.59,263.9790504,9620149.908,-6926458.345,70867.7598
1/13/1984,0.19,266.2975358,10378690.83,-7553683.246,70664.10018
1/14/1984,0.62,268.0988015,10353502.25,-6570189.293,70271.88766
1/15/1984,2.92,267.194421,8465219.994,-5562340.765,70366.96965
1/16/1984,3.57,268.1730343,8110934.75,-4969475.618,70341.89991
1/17/1984,14.74,267.3587986,4694297.959,-2850612.133,69751.88327
1/18/1984,7.74,263.47879,5454024.802,-4611446.861,69971.61605
1/19/1984,2.21,264.1589698,7484736.687,-5127882.864,69840.10428
1/20/1984,3.07,262.8383658,7216426.215,-5199748.676,69936.26933
1/21/1984,1.97,262.2972263,7868597.118,-5841454.012,70130.37744
1/22/1984,1.3,264.8802615,8193955.352,-5728742.704,69995.74091
1/23/1984,3.45,264.548659,7798972.27,-5239873.304,69956.55477
1/24/1984,4.27,263.2706894,7365416.92,-5244298.847,70283.78485
1/25/1984,1.77,263.5458873,8735755.663,-5912862.313,70395.48911
1/26/1984,2.29,264.3378088,8668835.218,-5663705.522,70193.99772
1/27/1984,2.3,264.1946963,9203999.939,-6162601.772,70412.65011
1/28/1984,2.1,264.1727118,8903793.556,-5797953.475,70230.89353
1/29/1984,2.01,264.3399799,9103388.112,-6102213.699,70238.58146
1/30/1984,2.04,264.2666844,9114495.151,-6094968.296,70268.43307
1/31/1984,0.78,263.6866883,9534704.02,-6845753.236,70555.59102
2/1/1984,0.23,265.5209216,10557965.85,-7117248.767,70509.83777
2/2/1984,0.24,266.7344961,10787169.49,-6990692.028,70509.67348
2/3/1984,0.39,268.3861852,10797000.07,-6537707.106,70493.73167
2/4/1984,1.12,269.2276156,10468343.84,-5949307.947,70283.41501
2/5/1984,2.91,268.7267042,10044698.95,-5930550.359,70198.93586
2/6/1984,2.19,268.0829823,9951529.278,-6281125.462,70464.76898
2/7/1984,0.94,267.3751293,10737056.21,-6648895.88,70447.72032
2/8/1984,1.89,268.6834264,10105949.43,-5590761.23,70083.35113
2/9/1984,7.57,264.3102094,6691395.764,-4849943.322,70118.27422
2/10/1984,1.39,264.6282372,10312064.14,-6970454.869,70183.18416
2/11/1984,2.22,264.3772449,9409807.563,-5686379.305,70326.04462
2/12/1984,1.69,265.9248929,10261354.99,-5893038.743,70475.7931
2/13/1984,2.11,265.4178794,10436387.61,-6231309.62,70564.6056
2/14/1984,0.83,265.6441361,11111339.84,-6977767.102,70766.15437
2/15/1984,0.31,268.2450926,10158530.33,-5947327.121,70699.36746
2/16/1984,0.55,267.1688663,9869641.845,-6225788.194,70660.9091
2/17/1984,0.51,267.5083738,11682847.62,-6807396.059,70542.22692
2/18/1984,1.19,268.4793571,11724288.55,-6496746.066,70587.19182
2/19/1984,1.55,268.2658315,11440926.01,-6352867.338,70689.52854
2/20/1984,1.52,269.9950716,11104982.79,-5940175.199,70673.13728
2/21/1984,3.68,270.3373827,9941909.476,-5318929.556,70446.30659
2/22/1984,3.33,269.8872977,11202534.68,-6255304.949,70336.99714
2/23/1984,3.95,269.4100268,10970916.5,-6270455.464,70369.45506
2/24/1984,1.96,268.3285184,11680219.31,-6855932.3,70374.37041
2/25/1984,1.39,267.6865931,12342031.52,-7184128.214,70436.50431
2/26/1984,1.2,267.2051942,12526414.3,-7313500.498,70536.29989
2/27/1984,0.57,268.2614958,12800976.62,-7394642.296,70565.38938
2/28/1984,0.91,268.2508926,12876530.58,-7211799.974,70537.0077
2/29/1984,1.11,269.4355063,13141170.16,-7344167.716,70447.50925
3/1/1984,1.49,269.245886,12408253.12,-7079198.395,70691.38467
3/2/1984,1,270.5949212,12966255.68,-7439562.913,70670.92724
3/3/1984,1.54,270.1310625,12082359.59,-6903834.607,70643.06238
3/4/1984,1.77,271.4129647,12119948.59,-6766203.104,70586.03809
